particle_uid,material,acquisition_id,particle_id,npz_path,particle_type,n_components,oil_id,bitumen_id,oil_mix_id,bbox_height,bbox_width,bbox_area,distance_m,recon_pixel_um,numerical_aperture,lateral_resolution_um,axial_resolution_um,bbox_height_um,bbox_width_um,bbox_area_um2,area_um2,equiv_diameter_um,feret_max_um,feret_min_um,area_px,perimeter_px,perimeter_um,equiv_diameter_px,circularity,solidity,convex_deviation,feret_max_px,feret_min_px,aspect_ratio,amp_mean,amp_std,amp_contrast,rim_ratio,radial_gradient,phase_mean,phase_std,phase_contrast,Ra_optical,Rq_optical,Rt_optical,mean_opd,max_opd,integrated_opd,integrated_opd_per_area,mean_phase_gradient,std_phase_gradient,max_phase_gradient,edge_phase_gradient_mean,edge_phase_gradient_std,edge_phase_gradient_max,laplacian_variance,center_edge_phase_difference
Bitumen_Bitumen 1_raw100,Bitumen,Bitumen_Bitumen 1,100,/Users/arushimukherji/Desktop/AriyaLab/Processed_Data/NPZ/Bitumen_Bitumen 1_raw100.npz,aggregate,1,1,1,0,340,212,72080,0.0245,1.0845210510208543,0.2441164778757107,0.8295220452226117,6.796116775410417,368.73715734709043,229.9184628164211,84779.48040053983,65133.64714401629,287.97696997605215,376.69117905953715,231.26813704725308,55377,1105.0092347159898,1198.405776621935,265.53377613554005,0.5699115696204246,0.9426353686144071,0.057364631385422686,347.33413307649454,213.2444887349688,1.6288070802532169,0.7774117055817399,0.07640110539904416,0.1286440000000001,1.0482741149685448,-0.03580382687606509,0.3029012041100096,0.16318315458991622,0.455808,0.13956347620374915,0.16318315458991622,0.60114,0.01952433068055103,0.03885706660935534,1081.1988600968746,0.01952433068054751,0.006397710606748851,0.010306884200380008,0.0702116494963621,0.03464128222665482,0.019554744872251683,0.0660126451901452,6.553017206974699e-05,-0.009428726976624557
Bitumen_Bitumen 1_raw103,Bitumen,Bitumen_Bitumen 1,103,/Users/arushimukherji/Desktop/AriyaLab/Processed_Data/NPZ/Bitumen_Bitumen 1_raw103.npz,single,1,1,1,0,360,222,79920,0.0245,1.0845210510208543,0.2441164778757107,0.8295220452226117,6.796116775410417,390.4275783675075,240.76367332662966,94000.77793578168,69919.54761224322,298.369457166616,391.22358862466746,230.154547836823,59446,1037.109739779378,1124.7673450094958,275.11633534984156,0.6945173115712704,0.9605571444728359,0.03944285552700253,360.73397400300405,212.2176859731581,1.6998299286357816,0.7907527685630656,0.07777464484553435,0.13623999999999992,1.0581317166391957,-0.0436888600211931,0.15090540355953302,0.054925587178652015,0.147865,0.04334359674290285,0.054925587178652015,0.28492,0.009727023070889674,0.019687975756285343,578.2326134721076,0.009727023070888038,0.004697207299915133,0.004346503890680303,0.035004117614932106,0.016827750046609816,0.007797831463753758,0.031776935818294376,0.00010790856202772556,-0.006133249435571475
Bitumen_Bitumen 1_raw109,Bitumen,Bitumen_Bitumen 1,109,/Users/arushimukherji/Desktop/AriyaLab/Processed_Data/NPZ/Bitumen_Bitumen 1_raw109.npz,single,1,1,1,0,370,230,85100,0.0245,1.0845210510208543,0.2441164778757107,0.8295220452226117,6.796116775410417,401.2727888777161,249.4398417347965,100093.4209501379,83245.73397375981,325.5637578507387,413.23098457799523,247.5556926923868,70776,1081.6711395993652,1173.0951211772287,300.1912757196249,0.7601606661340498,0.9708508799603612,0.029149120039501635,381.02624581516693,228.26269020722452,1.6692445246713712,0.8071601384650164,0.06533286525682958,0.101055,1.0378452592501881,-0.029504948877551285,0.060076721628800726,0.015779992904574915,0.04322,0.012705058899943273,0.015779992904574915,0.08807000000000001,0.0038724104208516636,0.006577269009204285,274.07371994619734,0.0038724104208511167,0.0035019183089570164,0.0014633531471025102,0.01388737646209679,0.007142507928199498,0.0022591369030698747,0.012108787098632133,9.06806807153006e-05,-0.01137058949525508
Bitumen_Bitumen 1_raw124,Bitumen,Bitumen_Bitumen 1,124,/Users/arushimukherji/Desktop/AriyaLab/Processed_Data/NPZ/Bitumen_Bitumen 1_raw124.npz,single,1,1,1,0,340,252,85680,0.0245,1.0845210510208543,0.2441164778757107,0.8295220452226117,6.796116775410417,368.73715734709043,273.29930485725527,100775.60877800018,71815.55929933631,302.3878470229716,375.18315682333173,243.38370308757752,61058,1014.9919907732865,1100.7801806111938,278.82155605770436,0.7447786319285743,0.9723850171994884,0.027614982800352336,345.94363702776786,224.41584039192384,1.541529494636411,0.7812799613482262,0.07424037925483638,0.13253000000000004,1.0709236299424092,-0.052402332263397744,0.21931147351698385,0.0645166793071622,0.17413900000000004,0.053659983345826646,0.0645166793071622,0.31606,0.014136324560233086,0.02300948371438312,863.1357049987117,0.01413632456023077,0.005130203782138451,0.005381131480140658,0.044499818258055816,0.022141532283588245,0.0079876076051258,0.0392015108127225,0.00010828485874476162,0.03135040516608592
Bitumen_Bitumen 1_raw125,Bitumen,Bitumen_Bitumen 1,125,/Users/arushimukherji/Desktop/AriyaLab/Processed_Data/NPZ/Bitumen_Bitumen 1_raw125.npz,aggregate,1,1,1,0,722,482,348004,0.0245,1.0845210510208543,0.2441164778757107,0.8295220452226117,6.796116775410417,783.0241988370568,522.7391465920517,409317.4014610081,238064.7329493738,550.5573832017502,844.6086736445379,410.2970985817855,202404,2058.711903607931,2232.716397450017,507.65025048016656,0.6001195897478074,0.9563824509178086,0.04361754908214408,778.784951061588,378.3210092561826,2.0585294815975406,0.7163228910989902,0.10209126534467705,0.26308700000000007,1.3400692774146084,-0.20159916529963662,0.4902412783838263,0.24934871660523142,0.7031999999999999,0.2096931230785247,0.24934871660523142,0.91069,0.03159985071880274,0.05870103012536505,6395.93618488855,0.03159985071880118,0.0068856317138335545,0.012783084208621402,0.11005099283968317,0.054193485941217735,0.029138959034221243,0.09855900009638897,8.354906031081085e-05,-0.07099288361280509
Bitumen_Bitumen 1_raw129,Bitumen,Bitumen_Bitumen 1,129,/Users/arushimukherji/Desktop/AriyaLab/Processed_Data/NPZ/Bitumen_Bitumen 1_raw129.npz,aggregate,1,1,1,0,480,231,110880,0.0245,1.0845210510208543,0.2441164778757107,0.8295220452226117,6.796116775410417,520.5701044900101,250.52436278581735,130415.49371270611,108985.38643054968,372.51107876359714,527.9300990140215,250.07668985042207,92660,1302.2985565973347,1412.3701993438829,343.4798046685717,0.6865640221757541,0.9705870029747171,0.029412997025178134,486.7864007960781,230.58721600196338,2.111072804625618,0.7931148349881284,0.07184926436605758,0.128301,1.0647089803659269,-0.04887278157675312,0.2601233733002374,0.0937118510627799,0.25527,0.07798426004417303,0.0937118510627799,0.38986,0.0167669678731608,0.02622463638175973,1553.62724312708,0.016766967873158994,0.004595567116734406,0.005714521454962657,0.04888114411508798,0.022682523019868412,0.010921129483950166,0.0457930917279015,8.715801961147375e-05,0.08826521451196581
Bitumen_Bitumen 1_raw130,Bitumen,Bitumen_Bitumen 1,130,/Users/arushimukherji/Desktop/AriyaLab/Processed_Data/NPZ/Bitumen_Bitumen 1_raw130.npz,aggregate,1,1,1,0,420,212,89040,0.0245,1.0845210510208543,0.2441164778757107,0.8295220452226117,6.796116775410417,455.4988414287588,229.9184628164211,104727.59343596097,83288.07666652367,325.64654583881577,457.8798557380856,226.2483757358178,70812,1133.0264786586927,1228.7910674693828,300.2676117095987,0.6931649683964417,0.9724785761369792,0.0275214238628835,422.1954523677393,208.61593744340078,2.0237928968503875,0.7658152493927584,0.09471454564599216,0.22355000000000003,1.1642976871700597,-0.11287190912491296,0.406456105321132,0.2882776633115452,0.7819679999999999,0.25437150513111745,0.2882776633115452,0.94235,0.026199246816253963,0.06074176255217226,1855.2210655525755,0.026199246816250264,0.008744895884130017,0.014888324490638677,0.11543856591278324,0.04459739211310429,0.03694247466052698,0.10326094251942503,4.621208789252594e-05,-0.007382912592693858
Bitumen_Bitumen 1_raw131,Bitumen,Bitumen_Bitumen 1,131,/Users/arushimukherji/Desktop/AriyaLab/Processed_Data/NPZ/Bitumen_Bitumen 1_raw131.npz,single,1,1,1,0,300,240,72000,0.0245,1.0845210510208543,0.2441164778757107,0.8295220452226117,6.796116775410417,325.3563153062563,260.28505224500503,84685.38552773124,67635.39457481468,293.455378203263,330.02422859822485,265.6754836606491,57504,935.8965363437815,1014.999495242335,270.58523015946525,0.8249967533450382,0.9788581350217923,0.02114186497803746,304.30412419157255,244.9703335961714,1.242208065459925,0.7804607020381191,0.06491260110893292,0.09145999999999999,1.0350543785670616,-0.02639376150114714,0.3569632470784641,0.15476350096088334,0.426644,0.13429119514107402,0.15476350096088334,0.5696,0.023009048436241807,0.039066554303200045,1323.1123212776488,0.023009048436237807,0.005603563530295096,0.008923184889888927,0.07373743299708772,0.03243628093705362,0.018061296063155197,0.06494026582175345,5.863967987396014e-05,0.10261364508062959
Bitumen_Bitumen 1_raw132,Bitumen,Bitumen_Bitumen 1,132,/Users/arushimukherji/Desktop/AriyaLab/Processed_Data/NPZ/Bitumen_Bitumen 1_raw132.npz,aggregate,1,1,1,0,422,222,93684,0.0245,1.0845210510208543,0.2441164778757107,0.8295220452226117,6.796116775410417,457.6678835308005,240.76367332662966,110189.80080249964,87223.59472174296,333.25145166026863,471.6382423969961,230.83501010566465,74158,1152.683332908185,1250.1093396998062,307.27983688890197,0.7013710655684231,0.9718374461057345,0.028162553894134464,434.8815930802314,212.84511710342625,2.0431833203338776,0.7644169498907738,0.09450856744543543,0.22883299999999995,1.1736652262555876,-0.11877136086381956,0.3621453998220016,0.2546032805305387,0.6904330000000001,0.22513928284210435,0.2546032805305387,0.82283,0.023343078352363253,0.05303777203884321,1731.076004454554,0.023343078352360106,0.007978884369644867,0.013067017775657705,0.09871669577634776,0.04081715661946165,0.032390025557582094,0.08887783821065855,6.0588373494206005e-05,-0.02263336468227728
Bitumen_Bitumen 1_raw133,Bitumen,Bitumen_Bitumen 1,133,/Users/arushimukherji/Desktop/AriyaLab/Processed_Data/NPZ/Bitumen_Bitumen 1_raw133.npz,aggregate,1,1,1,0,420,221,92820,0.0245,1.0845210510208543,0.2441164778757107,0.8295220452226117,6.796116775410417,455.4988414287588,239.6791522756088,109173.57617616685,84174.92084274464,327.37568311029844,457.7706701923693,231.2893153887809,71566,1169.7960312803932,1268.668421324236,301.86199041700604,0.6571981328380373,0.9636312224809184,0.036368777518946994,422.0947760870774,213.26401656387344,1.9792123532506867,0.8013890628231284,0.0730931198056967,0.11097500000000005,1.0301158113590896,-0.023290404632654194,0.19649697677668165,0.14290523007016193,0.385085,0.12560112020396408,0.14290523007016193,0.48879,0.012665753388432009,0.031506304576724445,906.4373069965252,0.01266575338843024,0.004860050943374146,0.007200791374698408,0.0570230164056585,0.021817584008825983,0.018527651307331982,0.054137199087134165,4.647951696835461e-05,-0.00011518226261666986
